"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 28 18:43:49 CST 2020","Sat Nov 28 18:43:51 CST 2020","2353","test_case","test_searchmedicine","TestSearchMedicine","","","查询药品",""
"broken","Sat Nov 28 18:43:39 CST 2020","Sat Nov 28 18:43:39 CST 2020","84","test_case","test_bijia","","","","比价",""
"passed","Sat Nov 28 18:43:52 CST 2020","Sat Nov 28 18:43:53 CST 2020","108","test_case","test_storemedicine","TestSearchMedicine","","","商家优选商品",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_3","TestAbc","","","test_add2[4-13-9]",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","1","common","test_2","","","","test_chakandizhi[{'userName':'啦啦哈哈',
'password':'abc123',
'login_type':'2'}]",""
"failed","Sat Nov 28 18:43:47 CST 2020","Sat Nov 28 18:43:48 CST 2020","237","test_case","test_order","TestOrder","","","查看订单物流信息",""
"passed","Sat Nov 28 18:43:49 CST 2020","Sat Nov 28 18:43:49 CST 2020","211","test_case","test_pricecompare","TestSearchMedicine","","","比价商品详细描述",""
"passed","Sat Nov 28 18:43:45 CST 2020","Sat Nov 28 18:43:45 CST 2020","187","test_case","test_favorite","TestFavorite","","","取消收藏商家",""
"passed","Sat Nov 28 18:43:52 CST 2020","Sat Nov 28 18:43:52 CST 2020","387","test_case","test_storemedicine","TestSearchMedicine","","","商家药品详情页",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","1","common","test_2","","","","test_chakandizhi[1]",""
"passed","Sat Nov 28 18:43:44 CST 2020","Sat Nov 28 18:43:44 CST 2020","657","test_case","test_deleteaddress","","","","删除地址模块",""
"passed","Sat Nov 28 18:43:47 CST 2020","Sat Nov 28 18:43:47 CST 2020","363","test_case","test_order","TestOrder","","","获取订单列表",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","common","test_2","","","","test_chakandizhi[None]",""
"failed","Sat Nov 28 18:43:48 CST 2020","Sat Nov 28 18:43:48 CST 2020","162","test_case","test_person","Testperson","","","新增用药人",""
"passed","Sat Nov 28 18:43:48 CST 2020","Sat Nov 28 18:43:49 CST 2020","174","test_case","test_person","Testperson","","","新增用药人",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_2","TestCase","","","test_c",""
"failed","Sat Nov 28 18:43:41 CST 2020","Sat Nov 28 18:43:42 CST 2020","153","test_case","test_cart","TestCart","","","修改购物车数量",""
"passed","Sat Nov 28 18:43:48 CST 2020","Sat Nov 28 18:43:48 CST 2020","233","test_case","test_person","Testperson","","","我的页面",""
"passed","Sat Nov 28 18:43:44 CST 2020","Sat Nov 28 18:43:44 CST 2020","34","test_case","test_chaxunyaopin","","","","查询药品模块",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","common","test_2","","","","test_chakandizhi[{""code"":1}]",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:33 CST 2020","5961","test_case","test_address","TestAddress","","","获取地址",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_1","","","","test_login[login_r0-query_param2]",""
"passed","Sat Nov 28 18:43:40 CST 2020","Sat Nov 28 18:43:40 CST 2020","684","test_case","test_cart","TestCart","","","加入购物车",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_1","","","","test_login[login_r1-query_param0]",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","common","test_2","","","","test_chakandizhi[get]",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_3","TestAbc","","","test_add2[7-8-15]",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_2","","","","test_d",""
"passed","Sat Nov 28 18:43:53 CST 2020","Sat Nov 28 18:43:53 CST 2020","29","test_case","test_storemedicine","TestSearchMedicine","","","商家资质和外景",""
"passed","Sat Nov 28 18:43:44 CST 2020","Sat Nov 28 18:43:45 CST 2020","194","test_case","test_favorite","TestFavorite","","","收藏药品",""
"failed","Sat Nov 28 18:43:47 CST 2020","Sat Nov 28 18:43:47 CST 2020","149","test_case","test_order","TestOrder","","","发起付款，获取需要支付的sdk",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","1","test_case","test_1","","","","test_login[login_r0-query_param1]",""
"failed","Sat Nov 28 18:43:42 CST 2020","Sat Nov 28 18:43:42 CST 2020","204","test_case","test_cart","TestCart","","","移入收藏夹",""
"passed","Sat Nov 28 18:43:48 CST 2020","Sat Nov 28 18:43:48 CST 2020","187","test_case","test_person","Testperson","","","获取我的积分",""
"broken","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","common","test_tologin","","","","test_chakandizhi",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_3","TestAbc","","","test_add1[7-8-15]",""
"passed","Sat Nov 28 18:43:52 CST 2020","Sat Nov 28 18:43:52 CST 2020","43","test_case","test_searchmedicine","TestSearchMedicine","","","规格搜索",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","1","test_case","test_3","TestAbc","","","test_other[1-2-3]",""
"passed","Sat Nov 28 18:43:43 CST 2020","Sat Nov 28 18:43:44 CST 2020","657","test_case","test_chaxunyaopin","","","","查询药品模块",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_3","TestAbc","","","test_add1[1-2-3]",""
"passed","Sat Nov 28 18:43:52 CST 2020","Sat Nov 28 18:43:52 CST 2020","93","test_case","test_searchmedicine","TestSearchMedicine","","","品牌搜索",""
"failed","Sat Nov 28 18:43:42 CST 2020","Sat Nov 28 18:43:43 CST 2020","174","test_case","test_chakandizhi","","","","查看地址模块",""
"broken","Sat Nov 28 18:43:38 CST 2020","Sat Nov 28 18:43:39 CST 2020","408","test_case","test_bijia","","","","比价",""
"passed","Sat Nov 28 18:43:52 CST 2020","Sat Nov 28 18:43:52 CST 2020","84","test_case","test_storemedicine","TestSearchMedicine","","","商家详情页",""
"passed","Sat Nov 28 18:43:33 CST 2020","Sat Nov 28 18:43:36 CST 2020","3082","test_case","test_address","TestAddress","","","添加地址",""
"passed","Sat Nov 28 18:43:45 CST 2020","Sat Nov 28 18:43:45 CST 2020","195","test_case","test_favorite","TestFavorite","","","取消收藏药品",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_2","TestCase","","","test_b",""
"failed","Sat Nov 28 18:43:42 CST 2020","Sat Nov 28 18:43:42 CST 2020","222","test_case","test_cart","TestCart","","","删除购物车商品",""
"passed","Sat Nov 28 18:43:40 CST 2020","Sat Nov 28 18:43:41 CST 2020","918","test_case","test_cart","TestCart","","","购物车页面精选商品",""
"passed","Sat Nov 28 18:43:49 CST 2020","Sat Nov 28 18:43:49 CST 2020","244","test_case","test_pricecompare","TestSearchMedicine","","","比价页商家商品",""
"failed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_3","TestAbc","","","test_add1[4-13-9]",""
"passed","Sat Nov 28 18:43:37 CST 2020","Sat Nov 28 18:43:37 CST 2020","529","test_case","test_address","TestAddress","","","删除地址",""
"passed","Sat Nov 28 18:43:27 CST 2020","Sat Nov 28 18:43:27 CST 2020","0","test_case","test_2","","","","test_a",""
"passed","Fri Nov 20 11:17:46 CST 2020","Fri Nov 20 11:17:46 CST 2020","215","test_case","test_pricecompare","TestSearchMedicine","","","test_pricecompare[10-10-{'mid':'181741'}-11]",""
"passed","Sat Nov 28 18:43:48 CST 2020","Sat Nov 28 18:43:48 CST 2020","198","test_case","test_person","Testperson","","","获取用户实名信息",""
"passed","Sat Nov 28 18:43:53 CST 2020","Sat Nov 28 18:43:53 CST 2020","13","test_case","test_storemedicine","TestSearchMedicine","","","APP首页底部资质图片",""
"failed","Sat Nov 28 18:43:53 CST 2020","Sat Nov 28 18:43:53 CST 2020","30","test_case","test_storemedicine","TestSearchMedicine","","","商家药品分类",""
"passed","Sat Nov 28 18:43:45 CST 2020","Sat Nov 28 18:43:45 CST 2020","173","test_case","test_favorite","TestFavorite","","","收藏商家",""
"broken","Sat Nov 28 18:43:46 CST 2020","Sat Nov 28 18:43:46 CST 2020","4","test_case","test_log","","","","test_case02[3-None-guest.medicine.getSearchPageData-{'Content-Type':'application/x-www-form-urlencoded'}-{'keywords':'感冒灵'}-get-4-None]",""
